id,anomalyScores
0,0.390287
1,0.389739
2,0.409154
3,0.361816
4,0.367697
5,0.387679
6,0.359616
7,0.389895
8,0.349569
9,0.378957
10,0.369269
11,0.377216
12,0.421892
13,0.385325
14,0.351549
15,0.372787
16,0.382200
17,0.371391
18,0.361661
19,0.359300
20,0.429443
21,0.407407
22,0.352983
23,0.362245
24,0.372722
25,0.409729
26,0.352598
27,0.419786
28,0.437862
29,0.358308
30,0.400891
31,0.394890
32,0.368226
33,0.365880
34,0.386016
35,0.374481
36,0.376729
37,0.391742
38,0.374008
39,0.369103
40,0.351521
41,0.370115
42,0.356214
43,0.353820
44,0.366382
45,0.367860
46,0.369365
47,0.386623
48,0.363035
49,0.384598
50,0.369129
51,0.433804
52,0.391378
53,0.364909
54,0.377879
55,0.389062
56,0.432370
57,0.359961
58,0.396130
59,0.360707
60,0.432686
61,0.365237
62,0.376188
63,0.439786
64,0.390031
65,0.383017
66,0.382582
67,0.356313
68,0.435789
69,0.400402
70,0.366990
71,0.369710
72,0.348439
73,0.377786
74,0.372833
75,0.393818
76,0.394333
77,0.360388
78,0.357789
79,0.377243
80,0.380713
81,0.392396
82,0.406898
83,0.384512
84,0.378516
85,0.376919
86,0.409916
87,0.370434
88,0.411220
89,0.384377
90,0.388647
91,0.384801
92,0.361315
93,0.379591
94,0.371224
95,0.390154
96,0.359981
97,0.377309
98,0.367463
99,0.351679
100,0.368147
101,0.385477
102,0.351310
103,0.364133
104,0.354849
105,0.361672
106,0.376159
107,0.388044
108,0.438077
109,0.392490
110,0.379431
111,0.438677
112,0.349684
113,0.366014
114,0.434394
115,0.368353
116,0.364104
117,0.422877
118,0.385761
119,0.424379
120,0.418360
121,0.466130
122,0.390686
123,0.380770
124,0.349324
125,0.369276
126,0.385960
127,0.386797
128,0.355537
129,0.377916
130,0.366867
131,0.378945
132,0.356720
133,0.356844
134,0.396530
135,0.400760
136,0.371400
137,0.368206
138,0.386157
139,0.370275
140,0.358219
141,0.376636
142,0.365162
143,0.384842
144,0.372179
145,0.381915
146,0.385467
147,0.371371
148,0.356678
149,0.404537
150,0.380821
151,0.381630
152,0.353140
153,0.352931
154,0.378745
155,0.380845
156,0.412003
157,0.391309
158,0.386233
159,0.395650
160,0.362403
161,0.412263
162,0.361640
163,0.375510
164,0.414480
165,0.385952
166,0.363028
167,0.370611
168,0.375366
169,0.387257
170,0.367511
171,0.399603
172,0.379464
173,0.373633
174,0.351293
175,0.383671
176,0.367526
177,0.360481
178,0.399172
179,0.402830
180,0.357441
181,0.404044
182,0.381357
183,0.367516
184,0.353302
185,0.396175
186,0.382180
187,0.426280
188,0.378539
189,0.405097
190,0.404909
191,0.378056
192,0.391310
193,0.390761
194,0.382265
195,0.361802
196,0.400170
197,0.374695
198,0.398005
199,0.386812
200,0.356481
201,0.363655
202,0.377990
203,0.395510
204,0.369821
205,0.364579
206,0.434849
207,0.392833
208,0.353931
209,0.436339
210,0.371921
211,0.355463
212,0.358631
213,0.419800
214,0.400889
215,0.394546
216,0.388354
217,0.363322
218,0.380366
219,0.387833
220,0.448514
221,0.400442
222,0.438986
223,0.374120
224,0.375569
225,0.391044
226,0.371889
227,0.358356
228,0.388870
229,0.442166
230,0.362378
231,0.355627
232,0.362416
233,0.403549
234,0.386285
235,0.392536
236,0.392114
237,0.369938
238,0.375416
239,0.379820
240,0.358023
241,0.412948
242,0.412209
243,0.376555
244,0.401537
245,0.384890
246,0.428694
247,0.356818
248,0.364811
249,0.439975
250,0.393004
251,0.355368
252,0.395404
253,0.438335
254,0.376258
255,0.404814
256,0.362535
257,0.371003
258,0.354107
259,0.382577
260,0.394979
261,0.383532
262,0.385371
263,0.379076
264,0.376499
265,0.389036
266,0.402095
267,0.355743
268,0.375608
269,0.354602
270,0.348233
