id,anomalyScores
0,0.390467
1,0.391426
2,0.401991
3,0.358530
4,0.369314
5,0.386645
6,0.356128
7,0.384797
8,0.348328
9,0.373409
10,0.366776
11,0.372501
12,0.422130
13,0.379546
14,0.348764
15,0.374277
16,0.379001
17,0.368371
18,0.359594
19,0.359116
20,0.430780
21,0.402867
22,0.353503
23,0.357532
24,0.369776
25,0.406421
26,0.350903
27,0.417809
28,0.447504
29,0.355907
30,0.398635
31,0.391210
32,0.371588
33,0.363867
34,0.381187
35,0.369192
36,0.377098
37,0.389153
38,0.376329
39,0.367968
40,0.346440
41,0.366773
42,0.353569
43,0.353275
44,0.366410
45,0.364714
46,0.366172
47,0.384171
48,0.361397
49,0.381599
50,0.365045
51,0.430396
52,0.394438
53,0.364418
54,0.378201
55,0.384338
56,0.436708
57,0.359010
58,0.391065
59,0.359611
60,0.433697
61,0.363383
62,0.371924
63,0.429738
64,0.394057
65,0.379838
66,0.379287
67,0.351419
68,0.429249
69,0.397060
70,0.363738
71,0.370736
72,0.346874
73,0.375727
74,0.372810
75,0.389975
76,0.397333
77,0.357001
78,0.352539
79,0.375284
80,0.378612
81,0.388160
82,0.404897
83,0.382388
84,0.374912
85,0.371834
86,0.410163
87,0.373441
88,0.413796
89,0.385408
90,0.387042
91,0.384934
92,0.359555
93,0.371604
94,0.365131
95,0.387780
96,0.357663
97,0.372573
98,0.365835
99,0.348345
100,0.368127
101,0.386103
102,0.348270
103,0.363955
104,0.351284
105,0.359023
106,0.372679
107,0.384270
108,0.442529
109,0.386793
110,0.374242
111,0.443239
112,0.345912
113,0.361861
114,0.432512
115,0.367214
116,0.363941
117,0.419437
118,0.381405
119,0.420212
120,0.423548
121,0.465889
122,0.383352
123,0.384272
124,0.346370
125,0.369364
126,0.386309
127,0.384862
128,0.354003
129,0.378178
130,0.366294
131,0.377789
132,0.354512
133,0.356383
134,0.396411
135,0.400039
136,0.369977
137,0.359334
138,0.382899
139,0.369196
140,0.355378
141,0.372522
142,0.361665
143,0.383398
144,0.366403
145,0.376784
146,0.388833
147,0.369431
148,0.355373
149,0.402022
150,0.378885
151,0.382195
152,0.348658
153,0.356188
154,0.376840
155,0.379095
156,0.404713
157,0.390731
